,precision,recall,f1-score,support
Russia,0.4444444444444444,0.4666666666666667,0.45528455284552843,60.0
Rwanda,0.7611940298507462,0.85,0.8031496062992126,60.0
Senegal,0.8125,0.8666666666666667,0.8387096774193549,60.0
Serbia,0.42028985507246375,0.48333333333333334,0.4496124031007752,60.0
Singapore,0.8524590163934426,0.8666666666666667,0.859504132231405,60.0
Slovakia,0.25806451612903225,0.26666666666666666,0.26229508196721313,60.0
Slovenia,0.2962962962962963,0.26666666666666666,0.2807017543859649,60.0
SouthAfrica,0.6530612244897959,0.5333333333333333,0.5871559633027523,60.0
SouthKorea,0.6666666666666666,0.7,0.6829268292682927,60.0
Spain,0.5384615384615384,0.23333333333333334,0.32558139534883723,60.0
Sweden,0.3898305084745763,0.38333333333333336,0.3865546218487395,60.0
Switzerland,0.65,0.65,0.65,60.0
Thailand,0.49333333333333335,0.6166666666666667,0.5481481481481482,60.0
Tunisia,0.8,0.8,0.8,60.0
Turkey,0.40816326530612246,0.3333333333333333,0.3669724770642202,60.0
USA,0.375,0.25,0.3,60.0
Uganda,0.7123287671232876,0.8666666666666667,0.7819548872180451,60.0
Ukraine,0.475,0.6333333333333333,0.5428571428571428,60.0
UnitedArabEmirates,0.8222222222222222,0.6166666666666667,0.7047619047619048,60.0
UnitedKingdom,0.5510204081632653,0.45,0.4954128440366973,60.0
Uruguay,0.8125,0.65,0.7222222222222222,60.0
accuracy,0.582859384192979,0.582859384192979,0.582859384192979,0.582859384192979
macro avg,0.5865094757596402,0.582872420988401,0.5786347183474556,5099.0
weighted avg,0.5865087471413009,0.582859384192979,0.578626910360915,5099.0
